Period,WeeklyRewards
1,70000000000000000000000
2,60000000000000000000000
3,50000000000000000000000
4,50000000000000000000000
5,45000000000000000000000
6,42000000000000000000000
7,40000000000000000000000
8,38000000000000000000000
9,35785810000000000000000
10,33366470000000000000000
11,31110690000000000000000
12,29007410000000000000000
13,27046330000000000000000
14,25217830000000000000000
15,23512950000000000000000
16,21923330000000000000000
17,20441180000000000000000
18,19059230000000000000000
19,17770710000000000000000
20,16569300000000000000000
21,15449110000000000000000
22,14404660000000000000000
23,13430810000000000000000
24,12522810000000000000000
25,11676190000000000000000
26,10886800000000000000000
27,10150790000000000000000
28,9464530000000000000000
29,8824670000000000000000
30,8228070000000000000000
31,7671800000000000000000
32,7153140000000000000000
33,6669540000000000000000
34,6218640000000000000000
35,5798220000000000000000
36,5406230000000000000000
37,5040730000000000000000
38,4699950000000000000000
39,4382200000000000000000
40,4085940000000000000000
41,3809700000000000000000
42,3552140000000000000000
43,3312000000000000000000
44,3088090000000000000000
45,2879310000000000000000
46,2684650000000000000000
47,2503150000000000000000
48,2333930000000000000000
49,2176140000000000000000
50,2029020000000000000000
51,1891840000000000000000
52,1763940000000000000000
